week,home_team,away_team,point_diff
1,NO,MIN,5
1,TB,CLE,3
1,BUF,MIA,-5
1,NE,CIN,14
1,HOU,IND,10
1,JAC,DEN,7
1,TEN,OAK,25
1,NYG,CAR,13
1,CHI,DET,5
1,STL,ARI,-4
1,PIT,ATL,6
1,PHI,GB,-7
1,SEA,SF,25
1,WAS,DAL,6
1,NYJ,BAL,-1
1,KC,SD,7
2,WAS,HOU,-3
2,GB,BUF,27
2,MIN,MIA,-4
2,CLE,KC,-2
2,TEN,PIT,-8
2,DAL,CHI,-7
2,DET,PHI,-3
2,ATL,ARI,34
2,CAR,TB,-13
2,DEN,SEA,17
2,OAK,STL,2
2,NYJ,NE,14
2,CIN,BAL,5
2,SD,JAC,25
2,IND,NYG,24
2,SF,NO,-3
3,NYG,TEN,-19
3,CAR,CIN,-13
3,TB,PIT,-25
3,NE,BUF,8
3,BAL,CLE,7
3,MIN,DET,14
3,NO,ATL,-3
3,STL,WAS,14
3,HOU,DAL,-14
3,KC,SF,21
3,JAC,PHI,-25
3,DEN,IND,-14
3,ARI,OAK,1
3,SEA,SD,7
3,MIA,NYJ,-8
3,CHI,GB,3
4,BUF,NYJ,-24
4,CLE,CIN,3
4,PIT,BAL,-3
4,TEN,DEN,-6
4,GB,DET,2
4,ATL,SF,2
4,NO,CAR,2
4,STL,SEA,17
4,JAC,IND,3
4,OAK,HOU,-7
4,PHI,WAS,-5
4,SD,ARI,31
4,NYG,CHI,14
4,MIA,NE,-27
5,BUF,JAC,-10
5,BAL,DEN,14
5,IND,KC,10
5,WAS,GB,3
5,DET,STL,38
5,CAR,CHI,-17
5,CIN,TB,-3
5,CLE,ATL,-10
5,HOU,NYG,-24
5,ARI,NO,10
5,DAL,TEN,-7
5,OAK,SD,8
5,SF,PHI,-3
5,NYJ,MIN,9
6,GB,MIA,-3
6,STL,SD,3
6,NE,BAL,3
6,PIT,CLE,18
6,HOU,KC,4
6,NYG,DET,8
6,PHI,ATL,14
6,CHI,SEA,-3
6,TB,NO,-25
6,DEN,NYJ,-4
6,SF,OAK,8
6,MIN,DAL,3
6,WAS,IND,-3
6,JAC,TEN,-27
7,ATL,CIN,7
7,MIA,PIT,-1
7,BAL,BUF,3
7,KC,JAC,22
7,NO,CLE,-13
7,CHI,WAS,-3
7,CAR,SF,3
7,TB,STL,1
7,TEN,PHI,18
7,SEA,ARI,12
7,SD,NE,-3
7,DEN,OAK,-45
7,GB,MIN,4
7,DAL,NYG,-6
8,SF,DEN,8
8,DAL,JAC,-18
8,CIN,MIA,-8
8,KC,BUF,3
8,DET,WAS,12
8,STL,CAR,10
8,NYJ,GB,-9
8,SD,TEN,8
8,NE,MIN,10
8,ARI,TB,-3
8,OAK,SEA,30
8,NO,PIT,10
8,IND,HOU,13
9,DET,NYJ,-3
9,BAL,MIA,16
9,CLE,NE,20
9,HOU,SD,-6
9,BUF,CHI,-3
9,MIN,ARI,3
9,ATL,TB,6
9,CAR,NO,-31
9,SEA,NYG,-34
9,PHI,IND,2
9,OAK,KC,3
9,GB,DAL,38
9,CIN,PIT,-6
10,ATL,BAL,5
10,MIA,TEN,12
10,CLE,NYJ,-6
10,IND,CIN,6
10,JAC,HOU,7
10,CHI,MIN,14
10,TB,CAR,15
10,BUF,DET,2
10,DEN,KC,20
10,NYG,DAL,-13
10,ARI,SEA,-18
10,SF,STL,3
10,PIT,NE,-13
10,WAS,PHI,-31
11,MIA,CHI,-16
11,CAR,BAL,-24
11,NYJ,HOU,3
11,CIN,BUF,-18
11,PIT,OAK,32
11,JAC,CLE,4
11,DAL,DET,16
11,MIN,GB,-28
11,NO,SEA,15
11,TEN,WAS,-3
11,KC,ARI,18
11,STL,ATL,-17
11,SF,TB,-21
11,NE,IND,3
11,PHI,NYG,10
11,SD,DEN,21
12,DET,NE,-21
12,DAL,NO,-3
12,NYJ,CIN,16
12,NYG,JAC,4
12,BUF,PIT,-3
12,HOU,TEN,20
12,WAS,MIN,-4
12,CHI,PHI,5
12,ATL,GB,3
12,BAL,TB,7
12,CLE,CAR,1
12,SEA,KC,-18
12,OAK,MIA,-16
12,DEN,STL,-3
12,IND,SD,-22
12,ARI,SF,-21
13,PHI,HOU,10
13,MIN,BUF,24
13,MIA,CLE,-3
13,TEN,JAC,-11
13,KC,DEN,4
13,NYG,WAS,24
13,DET,CHI,-4
13,GB,SF,18
13,TB,ATL,-4
13,CIN,NO,-4
13,SD,OAK,-15
13,IND,DAL,-3
13,ARI,STL,-13
13,SEA,CAR,17
13,BAL,PIT,-3
13,NE,NYJ,42
14,TEN,IND,-2
14,CHI,NE,-29
14,BUF,CLE,7
14,PIT,CIN,16
14,JAC,OAK,7
14,WAS,TB,-1
14,DET,GB,4
14,CAR,ATL,-21
14,NO,STL,18
14,SF,SEA,19
14,NYJ,MIA,-4
14,ARI,DEN,30
14,SD,KC,31
14,DAL,PHI,-3
14,HOU,BAL,-6
14,MIN,NYG,-18
15,SD,SF,27
15,STL,KC,-14
15,MIA,BUF,-3
15,CIN,CLE,2
15,IND,JAC,10
15,TEN,HOU,14
15,DAL,WAS,3
15,NYG,PHI,-7
15,CAR,ARI,7
15,TB,DET,-3
15,BAL,NO,6
15,SEA,ATL,-16
15,PIT,NYJ,-5
15,OAK,DEN,16
15,NE,GB,4
15,MIN,CHI,-26
16,PIT,CAR,24
16,ARI,DAL,1
16,CHI,NYJ,4
16,BUF,NE,-31
16,CLE,BAL,-10
16,KC,TEN,20
16,TB,SEA,23
16,STL,SF,8
16,MIA,DET,-7
16,JAC,WAS,-3
16,DEN,HOU,1
16,OAK,IND,-5
16,GB,NYG,28
16,CIN,SD,14
16,ATL,NO,-3
16,PHI,MIN,-10
17,NE,MIA,31
17,NYJ,BUF,31
17,BAL,CIN,6
17,CLE,PIT,-32
17,HOU,JAC,17
17,IND,TEN,3
17,KC,OAK,-21
17,PHI,DAL,-1
17,WAS,NYG,-3
17,DET,MIN,7
17,GB,CHI,7
17,ATL,CAR,21
17,NO,TB,-10
17,DEN,SD,-5
17,SF,ARI,31
17,SEA,STL,10
